Tag Counts:
Tag,Count
Untagged,7656
IMAP_SSL,96
IMAP,96
SMTP,96
HTTPS,96
HTTP,96
POP3,96
TELNET,192

Port/Protocol Combination Counts:
Port,Protocol,Count
49155,tcp,961
143,tcp,96
49160,tcp,2
49172,tcp,2
49184,tcp,1
49183,tcp,2
49164,udp,1
49156,icmp,96
49153,udp,96
49171,tcp,2
49152,udp,384
49176,tcp,2
49181,tcp,2
49169,tcp,2
49164,tcp,1
49178,tcp,2
49154,udp,192
49163,tcp,2
993,tcp,96
49166,tcp,2
49156,tcp,962
49153,tcp,1154
49157,tcp,770
49158,tcp,386
443,tcp,96
49155,icmp,96
49180,tcp,2
49185,tcp,1
49188,tcp,1
49193,tcp,1
49182,tcp,2
49158,udp,96
49186,tcp,1
1024,tcp,96
49165,tcp,2
49187,tcp,1
49175,tcp,2
49168,tcp,2
49173,tcp,2
80,tcp,96
49161,tcp,2
49170,tcp,2
49174,tcp,2
49155,udp,97
49191,tcp,1
49167,tcp,2
49154,icmp,192
49157,udp,384
49189,tcp,1
110,tcp,96
49154,tcp,962
25,tcp,96
49152,icmp,96
23,tcp,192
49159,tcp,2
49177,tcp,2
49190,tcp,1
49152,tcp,576
49192,tcp,1
49162,tcp,2
49179,tcp,2
